1901-12-31,-18.226516666666665
1903-12-31,-18.67337916666666
1905-12-31,-18.658737500000004
1907-12-31,-19.45860833333333
1909-12-31,-18.363220833333333
1911-12-31,-19.245499999999996
1913-12-31,-18.640975
1915-12-31,-19.704554166666664
1917-12-31,-19.112991666666666
1919-12-31,-19.6474625
1921-12-31,-18.9718625
1923-12-31,-18.13008333333333
1925-12-31,-17.761958333333336
1927-12-31,-17.52852083333333
1929-12-31,-16.7401
1931-12-31,-17.065683333333336
1933-12-31,-16.67562916666667
1935-12-31,-16.9931875
1937-12-31,-17.225841666666664
1939-12-31,-17.322470833333334
1941-12-31,-17.1616125
1943-12-31,-17.89462083333333
1945-12-31,-17.568916666666663
1947-12-31,-16.561666666666664
1949-12-31,-18.196454166666665
1951-12-31,-18.410141666666668
1953-12-31,-17.67701666666667
1955-12-31,-17.942262500000002
1957-12-31,-18.01605
1959-12-31,-17.745016666666665
1961-12-31,-17.742462500000002
1963-12-31,-17.6709
1965-12-31,-17.783620833333334
1967-12-31,-18.489312500000004
1969-12-31,-18.460858333333334
1971-12-31,-18.615516666666668
1973-12-31,-18.48614166666667
1975-12-31,-18.463275
1977-12-31,-17.933699999999998
1979-12-31,-18.321420833333335
1981-12-31,-17.48463333333333
1983-12-31,-19.007091666666664
1985-12-31,-18.219045833333336
1987-12-31,-18.251733333333334
1989-12-31,-18.271629166666667
1991-12-31,-17.7453125
1993-12-31,-18.612574999999996
1995-12-31,-17.904729166666662
1997-12-31,-17.4239875
1999-12-31,-17.367883333333335
2001-12-31,-17.538483333333335
2003-12-31,-16.69409166666667
2005-12-31,-16.688733333333335
2007-12-31,-16.65214166666667
2009-12-31,-16.93215416666667
2011-12-31,-16.071620833333334
2013-12-31,-16.8733125
2015-12-31,-16.704537499999997
2017-12-31,-15.333200000000003
